Tiempo,Temperatura
1.007418315410614014e+02,4.686849442016544032e+01
1.017779948711395264e+02,4.695582118353344470e+01
1.028141536712646484e+02,4.703483179820876359e+01
1.038503153324127197e+02,4.711067696409129013e+01
1.048865046501159668e+02,4.718640414423482099e+01
1.059226729869842529e+02,4.726201361373564680e+01
1.069588594436645508e+02,4.733750564683548845e+01
1.079950380325317383e+02,4.741288051692482242e+01
1.090312273502349854e+02,4.749315154574183850e+01
1.100674011707305908e+02,4.756828514164820376e+01
1.111035592555999756e+02,4.764330240766826563e+01
1.121400082111358643e+02,4.771820361376461506e+01
1.131762223243713379e+02,4.779298902906519686e+01
1.142123973369598389e+02,4.787263281380928959e+01
1.152485630512237549e+02,4.794717977740048553e+01
1.162847692966461182e+02,4.802784371745316605e+01
1.173272931575775146e+02,4.811090338908992692e+01
1.183634419441223145e+02,4.818864793873722618e+01
1.193996155261993408e+02,4.826627287525106880e+01
1.204357709884643555e+02,4.834377847446371135e+01
1.214719784259796143e+02,4.842116501135998874e+01
1.225081880092620850e+02,4.849843276008051873e+01
1.235507776737213135e+02,4.857044239333097124e+01
1.245933542251586914e+02,4.864748125912898047e+01
1.256359021663665771e+02,4.872440213605757720e+01
1.266784842014312744e+02,4.879097166554962683e+01
1.277146615982055664e+02,4.886767302062615670e+01
1.287508177757263184e+02,4.893915519298808192e+01
1.297870385646820068e+02,4.901630003999563456e+01
1.308231987953186035e+02,4.909062588563579510e+01
1.318594017028808594e+02,4.915954801603439250e+01
1.329019391536712646e+02,4.923367004833020388e+01
1.339444725513458252e+02,4.930240331271347287e+01
1.349876675605773926e+02,4.937104591836734357e+01
1.360307774543762207e+02,4.944486754247475346e+01
1.370669407844543457e+02,4.950805987001143649e+01
1.381031115055084229e+02,4.957643157308490345e+01
1.391393282413482666e+02,4.964471333159857380e+01
1.401755621433258057e+02,4.971290532292200481e+01
1.412193074226379395e+02,4.977577225442706066e+01
1.422557499408721924e+02,4.984379211335074444e+01
1.432925539016723633e+02,4.991694446046484757e+01
1.443293652534484863e+02,4.998477914742476713e+01
1.453689048290252686e+02,5.005487681038412262e+01
1.464126300811767578e+02,5.012556331913837937e+01
1.474551024436950684e+02,5.019615732491157445e+01
1.484954326152801514e+02,5.026665900916422913e+01
1.495355143547058105e+02,5.033706855288251347e+01
1.505779166221618652e+02,5.040738613657987344e+01
1.516141066551208496e+02,5.047221320976822057e+01
1.526502785682678223e+02,5.054235445290105844e+01
1.536864645481109619e+02,5.061240426097139533e+01
1.547226545810699463e+02,5.067698462141364502e+01
1.557588162422180176e+02,5.074148736511742186e+01
1.567950348854064941e+02,5.081127791131420679e+01
1.578312199115753174e+02,5.087561940223858414e+01
1.588673994541168213e+02,5.093988370652983377e+01
1.599035897254943848e+02,5.100426178938954536e+01
1.609397711753845215e+02,5.107137730903644268e+01
1.619759614467620850e+02,5.113841245883644149e+01
1.630122163295745850e+02,5.121094334330590669e+01
1.640483953952789307e+02,5.127224222565533296e+01
1.650846092700958252e+02,5.133903713019225279e+01
1.661207640171051025e+02,5.140575223992035347e+01
1.671569375991821289e+02,5.146128731343283391e+01
1.681931109428405762e+02,5.152231210531549976e+01
1.692292923927307129e+02,5.158327017692077732e+01
1.702654669284820557e+02,5.163862879992052513e+01
1.713016550540924072e+02,5.170498659650515805e+01
1.723378174304962158e+02,5.176022439714200374e+01
1.733740060329437256e+02,5.181540740924419453e+01
1.744101974964141846e+02,5.187053571428571530e+01
1.754463813304901123e+02,5.192560939357906591e+01
1.764826247692108154e+02,5.198062852827571589e+01
1.775188043117523193e+02,5.204275686409424395e+01
1.785550782680511475e+02,5.209989362322512108e+01
1.795912683010101318e+02,5.215697388123448519e+01
1.806274907588958740e+02,5.221969700622089761e+01
1.816700572967529297e+02,5.227665888434049890e+01
1.827126157283782959e+02,5.233925199399103434e+01
1.837551646232604980e+02,5.239609586010499243e+01
1.847977318763732910e+02,5.245855935825360916e+01
1.858403081893920898e+02,5.252095512526912557e+01
1.868828642368316650e+02,5.257761986753322248e+01
1.879253931045532227e+02,5.263422880720510477e+01
1.889615757465362549e+02,5.268512920979195258e+01
1.899977772235870361e+02,5.273598453896674698e+01
1.910339591503143311e+02,5.278115148498423537e+01
1.920701158046722412e+02,5.282628290668689885e+01
1.931062788963317871e+02,5.287137884596869242e+01
1.941424326896667480e+02,5.292206941715782875e+01
1.951786174774169922e+02,5.297833973921476769e+01
1.962147798538208008e+02,5.303016190644905947e+01
1.972509310245513916e+02,5.308285531868197182e+01
1.982871398925781250e+02,5.314134901893007168e+01
1.993296556472778320e+02,5.319978539489332547e+01
2.003658235073089600e+02,5.325816453079784907e+01
2.014019811153411865e+02,5.331065688234166799e+01
2.024381272792816162e+02,5.336892749358715804e+01
2.034742782115936279e+02,5.342714110809840378e+01
2.045104930400848389e+02,5.349111035258678015e+01
2.055530548095703125e+02,5.354920454583094624e+01
2.065955455303192139e+02,5.360144080626217544e+01
2.076317150592803955e+02,5.366522280094507380e+01
2.086678781509399414e+02,5.371735714941334550e+01
2.097040545940399170e+02,5.377523053310444112e+01
2.107402129173278809e+02,5.383304750174101372e+01
2.117766368389129639e+02,5.389080813777307100e+01
2.128201997280120850e+02,5.393697614242734772e+01
2.138562624454498291e+02,5.398887216854110704e+01
2.148926498889923096e+02,5.403651088368119559e+01
2.159299597740173340e+02,5.409061359830213433e+01
2.169669516086578369e+02,5.413866515337755914e+01
2.180107982158660889e+02,5.419867706017002718e+01
2.190526368618011475e+02,5.425263793153843039e+01
2.200939164161682129e+02,5.431253915020531764e+01
2.211357097625732422e+02,5.437238223492552436e+01
2.221731455326080322e+02,5.442619137656397044e+01
2.232093353271484375e+02,5.448592423968756293e+01
